0.47 -0.242433
0.48 -0.242933
0.49 -0.243233
0.5 -0.243333
0.51 -0.243233
0.52 -0.242933
0.53 -0.242433
0.54 -0.241733
0.55 -0.240833
0.56 -0.239733
0.57 -0.238433
0.58 -0.236933
0.59 -0.235233
0.6 -0.233334
0.61 -0.231234
0.62 -0.228934
0.63 -0.226434
0.64 -0.223734
0.65 -0.220835
0.66 -0.217735
0.67 -0.214436
0.68 -0.210937
0.69 -0.207239
0.7 -0.203341
0.71 -0.199244
0.72 -0.194948
0.73 -0.190453
0.74 -0.18576
0.75 -0.180869
0.76 -0.175781
0.77 -0.170496
0.78 -0.165016
0.79 -0.159341
0.8 -0.153472
0.81 -0.147412
0.82 -0.141162
0.83 -0.134723
0.84 -0.128098
0.85 -0.12129
0.86 -0.114301
0.87 -0.107136
0.88 -0.0997964
0.89 -0.0922876
0.9 -0.0846137
0.91 -0.0767795
0.92 -0.06879
0.93 -0.0606508
0.94 -0.0523676
0.95 -0.0439464
0.96 -0.0353937
0.97 -0.026716
0.98 -0.0179199
0.99 -0.00901224
1 0


0 -0
0.01 -0.0088366
0.02 -0.0175657
0.03 -0.0261817
0.04 -0.0346791
0.05 -0.0430525
0.06 -0.0512966
0.07 -0.0594063
0.08 -0.0673767
0.09 -0.0752028
0.1 -0.0828802
0.11 -0.0904044
0.12 -0.0977714
0.13 -0.104977
0.14 -0.112018
0.15 -0.11889
0.16 -0.125591
0.17 -0.132118
0.18 -0.138467
0.19 -0.144636
0.2 -0.150623
0.21 -0.156426
0.22 -0.162042
0.23 -0.167471
0.24 -0.17271
0.25 -0.177758
0.26 -0.182615
0.27 -0.187278
0.28 -0.191747
0.29 -0.196021
0.3 -0.200099
0.31 -0.203981
0.32 -0.207666
0.33 -0.211154
0.34 -0.214443
0.35 -0.217535
0.36 -0.220428
0.37 -0.223123
0.38 -0.225618
0.39 -0.227914
0.4 -0.230011
0.41 -0.231909
0.42 -0.233607
0.43 -0.235106
0.44 -0.236404
0.45 -0.237503
0.46 -0.238403
0.47 -0.239102
0.48 -0.239602
0.49 -0.239901
0.5 -0.240001
0.51 -0.239901
0.52 -0.239601
0.53 -0.239101
0.54 -0.238401
0.55 -0.237501
0.56 -0.236402
0.57 -0.235102
0.58 -0.233603
0.59 -0.231904
0.6 -0.230005
0.61 -0.227907
0.62 -0.225609
0.63 -0.223112
0.64 -0.220415
0.65 -0.217519
0.66 -0.214425
0.67 -0.211132
0.68 -0.207641
0.69 -0.203951
0.7 -0.200065
0.71 -0.195982
0.72 -0.191702
0.73 -0.187227
0.74 -0.182557
0.75 -0.177694
0.76 -0.172638
0.77 -0.167391
0.78 -0.161954
0.79 -0.156329
0.8 -0.150518
0.81 -0.144522
0.82 -0.138345
0.83 -0.131988
0.84 -0.125454
0.85 -0.118746
0.86 -0.111868
0.87 -0.104822
0.88 -0.097613
0.89 -0.0902444
0.9 -0.0827204
0.91 -0.0750455
0.92 -0.0672243
0.93 -0.0592616
0.94 -0.0511624
0.95 -0.0429319
0.96 -0.0345755
0.97 -0.0260985
0.98 -0.0175065
0.99 -0.00880514
1 0


0 -0
0.01 -0.00866227
0.02 -0.017218
0.03 -0.0256624
0.04 -0.0339907
0.05 -0.0421981
0.06 -0.0502799
0.07 -0.0582317
0.08 -0.0660489
0.09 -0.0737273
0.1 -0.0812627
0.11 -0.088651
0.12 -0.0958884
0.13 -0.102971
