iteracion	Valor r1	Valor r2
283 	 15.0252	 7.51261
284 	 15.0252	 7.51261
285 	 15.0252	 7.51261
286 	 15.0252	 7.51261
287 	 15.0252	 7.51261
288 	 15.0252	 7.5126
289 	 15.0252	 7.5126
290 	 15.0252	 7.5126
291 	 15.0252	 7.5126
292 	 15.0252	 7.5126
293 	 15.0252	 7.5126
294 	 15.0252	 7.5126
295 	 15.0252	 7.5126
296 	 15.0252	 7.5126
297 	 15.0252	 7.5126
298 	 15.0252	 7.5126
299 	 15.0252	 7.51259
300 	 15.0252	 7.51259
301 	 15.0252	 7.51259
